"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","C","~","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","1",""
"DAC1","MCP4725","","3967 VL5SL1X TOF Sensor:Adafruit VL53L1X Time of Flight Distance Sensor","1",""
"GYRO1","GY-521","","GY-521:GY-521","1",""
"MCU1","ESP32-S3-DevKitC","","Espressif:ESP32-S3-DevKitC","1",""
"MIC1","INMP441","","inmp441:inmp441","1",""
"OPAMP1","LMV321M5","","LMV321M5:SOT95P280X145-5N","1",""
"R1,R2","1k","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","2",""
"R3","2.2K","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","1",""
"R4","3.3K","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","1",""
"SPKR1","KSSG1508","","KSSG1508:SPKR_KSSG1508","1",""
"TOF1","VL5SL1X","","3967 VL5SL1X TOF Sensor:Adafruit VL53L1X Time of Flight Distance Sensor","1",""
"USB1","USB_B_Micro","~","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","1",""
